technical_name (use with ::give),display_name,cert_of,source_file
01_wind_strike,,,scripts/_unpack/377/all.obj
03_confuse,,,scripts/_unpack/377/all.obj
05_water_strike,,,scripts/_unpack/377/all.obj
07_enchant_amulet_lvl1,,,scripts/_unpack/377/all.obj
09_earth_strike,,,scripts/_unpack/377/all.obj
100_ilm_snake_burnt,Snake over-cooked,,scripts/_unpack/377/all.obj
100_journal_head_dave,Evil dave,,scripts/_unpack/377/all.obj
100_journal_head_dwarf,Dwarf,,scripts/_unpack/377/all.obj
100_journal_head_goblin,Goblins,,scripts/_unpack/377/all.obj
100_journal_head_guide,Lumbridge guide,,scripts/_unpack/377/all.obj
100_journal_head_monkey,Monkey,,scripts/_unpack/377/all.obj
100_journal_head_osman,Osman,,scripts/_unpack/377/all.obj
100_journal_head_pirate,Pirate pete,,scripts/_unpack/377/all.obj
100_journal_head_sir,Sir amik varze,,scripts/_unpack/377/all.obj
100_journal_head_skrach,Skrach,,scripts/_unpack/377/all.obj
100_jubbly_balloon_toad_brown,Balloon toad,,scripts/_unpack/377/all.obj
100_jubbly_balloon_toad_white,Balloon toad,,scripts/_unpack/377/all.obj
100_jubbly_meat_burned,Burnt jubbly,,scripts/_unpack/377/all.obj
100_jubbly_meat_cooked,Cooked jubbly,,scripts/_unpack/377/all.obj
100_jubbly_meat_raw,Raw jubbly,,scripts/_unpack/377/all.obj
100goblin_compromise_mush,Slop of compromise,,scripts/_unpack/377/all.obj
100goblin_dyed_oranges,Dyed orange,,scripts/_unpack/377/all.obj
100goblin_soggy_bread,Soggy bread,,scripts/_unpack/377/all.obj
100goblin_spicey_maggots,Spicy maggots,,scripts/_unpack/377/all.obj
100guide_airrune_dum,Air rune,,scripts/_unpack/377/all.obj
100guide_bucket_milk,Enchanted milk,,scripts/_unpack/377/all.obj
100guide_chaosrune_dum,Chaos rune,,scripts/_unpack/377/all.obj
100guide_druid_pouch_dum,Druid pouch,,scripts/_unpack/377/all.obj
100guide_egg,Enchanted egg,,scripts/_unpack/377/all.obj
100guide_firerune_dum,Fire rune,,scripts/_unpack/377/all.obj
100guide_guidecake,Cake of guidance,,scripts/_unpack/377/all.obj
100guide_guidecake_uncooked,Raw guide cake,,scripts/_unpack/377/all.obj
100guide_mithril_arrow_dum,Mithril arrow,,scripts/_unpack/377/all.obj
100guide_onion_seed_dum,Onion seed,,scripts/_unpack/377/all.obj
100guide_pot_flour,Enchanted flour,,scripts/_unpack/377/all.obj
100guide_potato_seed_dum,Potato seed,,scripts/_unpack/377/all.obj
100guide_tomato_seed_dum,Tomato seed,,scripts/_unpack/377/all.obj
100guide_waterrune_dum,Water rune,,scripts/_unpack/377/all.obj
11_weaken,,,scripts/_unpack/377/all.obj
13_fire_strike,,,scripts/_unpack/377/all.obj
15_bones_bananas,,,scripts/_unpack/377/all.obj
17_wind_bolt,,,scripts/_unpack/377/all.obj
19_curse,,,scripts/_unpack/377/all.obj
1dose1agility,Agility potion(1),,scripts/_unpack/377/all.obj
1dose1antidragon,Antifire potion(1),,scripts/_unpack/377/all.obj
1dose1attack,Attack potion(1),,scripts/_unpack/377/all.obj
1dose1defense,Defence potion(1),,scripts/_unpack/377/all.obj
1dose1energy,Energy potion(1),,scripts/_unpack/377/all.obj
1dose1magic,Magic potion(1),,scripts/_unpack/377/all.obj
1dose1strength,Strength potion(1),,scripts/_unpack/377/all.obj
1dose2antipoison,Superantipoison(1),,scripts/_unpack/377/all.obj
1dose2attack,Super attack(1),,scripts/_unpack/377/all.obj
1dose2defense,Super defence(1),,scripts/_unpack/377/all.obj
1dose2energy,Super energy(1),,scripts/_unpack/377/all.obj
1dose2restore,Super restore(1),,scripts/_unpack/377/all.obj
1dose2strength,Super strength(1),,scripts/_unpack/377/all.obj
1doseantipoison,Antipoison(1),,scripts/_unpack/377/all.obj
1dosefisherspotion,Fishing potion(1),,scripts/_unpack/377/all.obj
1dosepotionofsaradomin,Saradomin brew(1),,scripts/_unpack/377/all.obj
1dosepotionofzamorak,Zamorak brew(1),,scripts/_unpack/377/all.obj
1doseprayerrestore,Prayer potion(1),,scripts/_unpack/377/all.obj
1doserangerspotion,Ranging potion(1),,scripts/_unpack/377/all.obj
1dosestatrestore,Restore potion(1),,scripts/_unpack/377/all.obj
20_bind,,,scripts/_unpack/377/all.obj
21_low_alchemy,,,scripts/_unpack/377/all.obj
23_water_bolt,,,scripts/_unpack/377/all.obj
25_varrock_teleport,,,scripts/_unpack/377/all.obj
27_enchant_amulet_lvl2,,,scripts/_unpack/377/all.obj
29_earth_bolt,,,scripts/_unpack/377/all.obj
2dose1agility,Agility potion(2),,scripts/_unpack/377/all.obj
2dose1antidragon,Antifire potion(2),,scripts/_unpack/377/all.obj
2dose1attack,Attack potion(2),,scripts/_unpack/377/all.obj
2dose1defense,Defence potion(2),,scripts/_unpack/377/all.obj
2dose1energy,Energy potion(2),,scripts/_unpack/377/all.obj
2dose1magic,Magic potion(2),,scripts/_unpack/377/all.obj
2dose1strength,Strength potion(2),,scripts/_unpack/377/all.obj
2dose2antipoison,Superantipoison(2),,scripts/_unpack/377/all.obj
2dose2attack,Super attack(2),,scripts/_unpack/377/all.obj
2dose2defense,Super defence(2),,scripts/_unpack/377/all.obj
2dose2energy,Super energy(2),,scripts/_unpack/377/all.obj
2dose2restore,Super restore(2),,scripts/_unpack/377/all.obj
2dose2strength,Super strength(2),,scripts/_unpack/377/all.obj
2doseantipoison,Antipoison(2),,scripts/_unpack/377/all.obj
2dosefisherspotion,Fishing potion(2),,scripts/_unpack/377/all.obj
2dosepotionofsaradomin,Saradomin brew(2),,scripts/_unpack/377/all.obj
2dosepotionofzamorak,Zamorak brew(2),,scripts/_unpack/377/all.obj
2doseprayerrestore,Prayer potion(2),,scripts/_unpack/377/all.obj
2doserangerspotion,Ranging potion(2),,scripts/_unpack/377/all.obj
2dosestatrestore,Restore potion(2),,scripts/_unpack/377/all.obj
31_lumbridge_teleport,,,scripts/_unpack/377/all.obj
33_tele_grab,,,scripts/_unpack/377/all.obj
35_fire_bolt,,,scripts/_unpack/377/all.obj
37_falador_teleport,,,scripts/_unpack/377/all.obj
39_crumble_undead,,,scripts/_unpack/377/all.obj
3dose1agility,Agility potion(3),,scripts/_unpack/377/all.obj
3dose1antidragon,Antifire potion(3),,scripts/_unpack/377/all.obj
3dose1attack,Attack potion(3),,scripts/_unpack/377/all.obj
3dose1defense,Defence potion(3),,scripts/_unpack/377/all.obj
3dose1energy,Energy potion(3),,scripts/_unpack/377/all.obj
